,c.avgHandBatter.,c.avgPlaceBatter.,c.avgHandPitcher.,c.avgPlacePitcher.,c.sampleHandBatter.,c.samplePlaceBatter.,c.sampleHandPitcher.,c.samplePlacePitcher.,c.avgHandBatter..1,c.avgPlaceBatter..1,c.avgHandPitcher..1,c.avgPlacePitcher..1,c.sampleHandBatter..1,c.samplePlaceBatter..1,c.sampleHandPitcher..1,c.samplePlacePitcher..1,c.avgHandBatter..2,c.avgPlaceBatter..2,c.avgHandPitcher..2,c.avgPlacePitcher..2,c.sampleHandBatter..2,c.samplePlaceBatter..2,c.sampleHandPitcher..2,c.samplePlacePitcher..2,hit,atBats,pitcherInMonth.pitcherInMonth.c.pitcherInMonth.,pitcherInMonth.batterInMonth.c.batterInMonth.,parkFactor,dateColumn
52,0.125,0.1710526316,0.198816568,0.2047043865,24,76,845,1573,0.125,0.1710526316,0.1968085106,0.1727493917,24,76,188,411,0.125,0.1710526316,0.2285714286,0.2183908046,24,76,140,261,TRUE,4,0.2296564195,0.2051282051,0.868,2016-08-09
53,0.2101545254,0.2181580666,0.2271317829,0.2398190045,2265,1531,1290,1105,0.2128514056,0.2028985507,0.2173913043,0.2309711286,498,345,414,381,0.194,0.1988636364,0.1632653061,0.1764705882,500,352,147,102,TRUE,5,0.1948529412,0.2348877375,0.868,2016-08-09
54,0.2738742658,0.267977693,0.2292595897,0.2398190045,4597,3407,1121,1105,0.2319474836,0.2256097561,0.2074927954,0.2309711286,457,328,347,381,0.2469879518,0.2413793103,0.1732283465,0.1764705882,332,261,127,102,TRUE,4,0.1948529412,0.2696272799,0.868,2016-08-09
55,0.21875,0.2192982456,0.2292595897,0.2398190045,320,228,1121,1105,0.1666666667,0.2,0.2074927954,0.2309711286,6,5,347,381,0.1666666667,0.2,0.1732283465,0.1764705882,6,5,127,102,TRUE,5,0.1948529412,0.208,0.868,2016-08-09
56,0.2128,0.2202531646,0.2271317829,0.2398190045,625,395,1290,1105,0.2131147541,0.2530120482,0.2173913043,0.2309711286,244,166,414,381,0.2131147541,0.2530120482,0.1632653061,0.1764705882,244,166,147,102,TRUE,4,0.1948529412,0.2253521127,0.868,2016-08-09
57,0.2190745987,0.2359920897,0.2271317829,0.2398190045,2118,1517,1290,1105,0.2234513274,0.2385620915,0.2173913043,0.2309711286,452,306,414,381,0.2233009709,0.2419354839,0.1632653061,0.1764705882,412,310,147,102,FALSE,2,0.1948529412,0.2220309811,0.868,2016-08-09
58,0.2528,0.2552631579,0.2292595897,0.2398190045,625,380,1121,1105,0.2485875706,0.303030303,0.2074927954,0.2309711286,354,231,347,381,0.2485875706,0.303030303,0.1732283465,0.1764705882,354,231,127,102,FALSE,4,0.1948529412,0.2558139535,0.868,2016-08-09
59,0.2428571429,0.2313432836,0.2292595897,0.2398190045,210,134,1121,1105,0.1111111111,0.25,0.2074927954,0.2309711286,9,12,347,381,0.2857142857,0,0.1732283465,0.1764705882,7,1,127,102,TRUE,4,0.1948529412,0.3063063063,0.868,2016-08-09
60,0.2337894111,0.231871472,0.2271317829,0.2398190045,3362,2303,1290,1105,0.212962963,0.2307692308,0.2173913043,0.2309711286,324,234,414,381,0.2396694215,0.2834645669,0.1632653061,0.1764705882,363,254,147,102,TRUE,3,0.1948529412,0.2223557692,0.868,2016-08-09
61,0.2024691358,0.2016806723,0.2292595897,0.2398190045,810,595,1121,1105,0.1333333333,0.1111111111,0.2074927954,0.2309711286,30,36,347,381,0.203125,0.1658536585,0.1732283465,0.1764705882,320,205,127,102,TRUE,4,0.1948529412,0.2367601246,0.868,2016-08-09
62,0.2628557761,0.2505147563,0.2857142857,0.2408759124,4181,2914,140,137,0.2562929062,0.2508361204,0.2857142857,0.2408759124,437,299,140,137,0.2490272374,0.2528089888,0.2857142857,0.2408759124,514,356,140,137,TRUE,4,0.2680412371,0.2489451477,0.868,2016-08-09
63,0,0.2485875706,0.2269503546,0.2408759124,1,177,141,137,0.2848297214,0.2485875706,0.2269503546,0.2408759124,323,177,141,137,0.2848297214,0.2485875706,0.2269503546,0.2408759124,323,177,141,137,FALSE,4,0.2680412371,0.2580645161,0.868,2016-08-09
64,0.2848297214,0.2485875706,0.2269503546,0.2408759124,323,177,141,137,0,0.2485875706,0.2269503546,0.2408759124,1,177,141,137,0,0.2485875706,0.2269503546,0.2408759124,1,177,141,137,FALSE,4,0.2680412371,0.2580645161,0.868,2016-08-09
65,0.2612936345,0.257183908,0.2857142857,0.2408759124,1948,1392,140,137,0.2626641651,0.2466124661,0.2857142857,0.2408759124,533,369,140,137,0.2698412698,0.2417582418,0.2857142857,0.2408759124,252,182,140,137,FALSE,3,0.2680412371,0.2837301587,0.868,2016-08-09
66,0,0.2143522833,0.2269503546,0.2408759124,2,2146,141,137,0.2147505423,0.2051282051,0.2269503546,0.2408759124,461,351,141,137,0.1666666667,0.175257732,0.2269503546,0.2408759124,360,291,141,137,FALSE,4,0.2680412371,0.2027586207,0.868,2016-08-09
67,0.2236172379,0.2143522833,0.2269503546,0.2408759124,2947,2146,141,137,0.2147505423,0.2051282051,0.2269503546,0.2408759124,461,351,141,137,0.1666666667,0.175257732,0.2269503546,0.2408759124,360,291,141,137,FALSE,4,0.2680412371,0.2027586207,0.868,2016-08-09
68,0.2314285714,0.2270114943,0.2857142857,0.2408759124,2450,1740,140,137,0.2305555556,0.2424242424,0.2857142857,0.2408759124,360,264,140,137,0.2095588235,0.1920903955,0.2857142857,0.2408759124,272,177,140,137,FALSE,3,0.2680412371,0.2110091743,0.868,2016-08-09
69,0,0.217146433,0.2269503546,0.2408759124,1,1598,141,137,0.2112676056,0.236,0.2269503546,0.2408759124,426,250,141,137,0.217877095,0.201793722,0.2269503546,0.2408759124,358,223,141,137,FALSE,3,0.2680412371,0.2306338028,0.868,2016-08-09
70,0.2204408818,0.217146433,0.2269503546,0.2408759124,2495,1598,141,137,0.2112676056,0.236,0.2269503546,0.2408759124,426,250,141,137,0.217877095,0.201793722,0.2269503546,0.2408759124,358,223,141,137,FALSE,3,0.2680412371,0.2306338028,0.868,2016-08-09
71,0,0.2260387812,0.2269503546,0.2408759124,1,1805,141,137,0.2440191388,0.2173913043,0.2269503546,0.2408759124,209,161,141,137,0.3,0.3015873016,0.2269503546,0.2408759124,90,63,141,137,FALSE,3,0.2680412371,0.2241112828,0.868,2016-08-09
